number,top_at_tags
58,JoeBiden
18,POTUS
8,RishiSunak
8,AlboMP
6,VP
5,YouTube
5,SecBlinken
4,fox5ny
4,antonioguterres
4,UN
4,RobertMosesFox5
4,KamalaHarris
3,robreiner
3,mitchellvii
3,laurenboebert
3,irregularjoe
3,USNATO
3,TuckerCarlson
3,ThisIsKubiLive
3,TheStalwart
3,TheOnion
3,TheJusticeDept
3,TheDemocrats
3,TG22110
3,RepSantosNY03
3,RepMTG
3,NATO
3,LindseyGrahamSC
3,JOEBiden
3,Archivist1000
2,sandumaiamd
2,euparl_net
2,SecYellen
2,ScottAdamsSays
2,RepSwalwell
2,OlafScholz
2,JustinTrudeau
2,GermanyDiplo
2,FLOTUS
2,EU_Commission
2,CNN
2,Bundeskanzler
2,ABlinken
2,ABaerbock
1,theSBPC
1,nedprice
1,msnbc
1,jrpsaki
1,joebiden
1,hwr
1,gmatij
1,ewarren
1,cspanwj
1,barackobama
1,anteksiler
1,WhiteHouse
1,WSJ
1,VDHanson
1,USAmbHRC
1,UN_HRC
1,TomFitton
1,TheLaw
1,TheBidenFamily
1,StateDept
1,StarRicky12
1,SquawkCNBC
1,SenatorSinema
1,Sen_JoeManchin
1,RepublicanRjl
1,RealHauleGluck
1,PeterSchiff
1,PershingSoldier
1,ONU_es
1,NewstalkSTL
1,Netsig
1,NazaninBoniadi
1,NAACP
1,MeidasTouch
1,Loves2Rock96
1,Louie32750795
1,LesterGarrison9
1,LennyDykstra
1,HewettW
1,GovernmentRF
1,GRDecter
1,FredSimonTLM
1,FoxNews
1,FoxBusiness
1,EricMoo91919605
1,Entrepreneur
1,Emme0703
1,DivineIntel
1,DefenceU
1,DNC
1,ClownWorld_
1,CallananCharles
1,CN_Australia
1,CNBC
1,BBCPolitics
1,AliMayorkas
1,AdamKinzinger
1,ABC
1,933KWTO
1,79shaggster
