number,top_at_tags
42,JoeBiden
19,POTUS
7,simonateba
5,YouTube
4,GOP
3,realDonaldTrump
3,WhiteHouse
3,TheJusticeDept
3,RepMTG
3,CNN
2,tedcruz
2,rccmediard
2,mikepompeo
2,kurtbardella
2,joebiden
2,gop
2,elonmusk
2,ZelenskyyUa
2,ZOLFM1065
2,VP
2,TuckerCarlson
2,Telefuturo23
2,SwetaSinghAT
2,StateDept
2,SpeakerMcCarthy
2,SecBlinken
2,RudyGiuliani
2,RonFilipkowski
2,RepStefanik
2,RCCMediaRD
2,PoliticsNation
2,PapiTrumpo
2,POTUS45
2,NicolasMaduro
2,KamalaHarris
2,FoxNews
2,CPAC
1,whitehouse
1,welt
1,washingtonpost
1,varingian
1,usairforce
1,updayNL
1,unusual_whales
1,trzaskowski_
1,thewatcherpost
1,taylorswift13
1,studies_forum
1,srinjoyc1
1,rogerwaters
1,realTuckFrumper
1,realLizUSA
1,ratemyskyperoom
1,pisorgpl
1,patriottakes
1,nytimes
1,mschlapp
1,meiselasb
1,malhotra_malika
1,lympne67
1,lavoixdunord
1,laurenboebert
1,kinseyschofield
1,julie_kelly2
1,joncoopertweets
1,jon425
1,hrw
1,hrkbenowen
1,housedem
1,grantstern
1,evanvucci
1,coopsagrada
1,chrissyteigen
1,beaka60
1,barackobama
1,atrupar
1,apissedoffnurse
1,antonioguterres
1,andycommons_
1,ZeeNews
1,Zamek_Krolewski
1,WSJ
1,USMC
1,UNOSAPG
1,UNHumanRights
1,UNGeneva
1,TulsiGabbard
1,TrumpWarRoom
1,TheView
1,SusoNunez
1,StephenM
1,SolidarnaPL
1,ShiverTorty
1,Sal_DiCiccio
1,RobParsonsF24
1,RepMattGaetz
1,RealDonaldTrump
1,PortalCubaSi
1,PolskaPolicja
1,Paultx890
1,Pauline_F24
1,PatUnleashed
1,OstapYarysh
1,OfficialMcAfee
1,ObywateleRP
1,ONU_es
1,NikkiHaley
1,NATO
1,Mike_Pence
1,MichelleUgenti
1,McAfeeMemorial
1,Matt_VanDyke
1,MarkMeadows
1,MSNBC
1,LvivTyler
1,LotniskoRzeszow
1,KremlinRussia_E
1,KeithMalinak
1,KBeds
1,JoeNBC
1,JoJoFromJerz
1,Jim_Jordan
1,IvankaTrump
1,IranIntl_En
1,Imagindia
1,HCTrudo
1,GOPoversight
1,GEN80
1,GBNEWS
1,FBI
1,EmmaRincon
1,DrBiden
1,DonaldJTrumpJr
1,DavidMuir
1,DashDobrofsky
1,DNC
1,CoryBooker
1,CoachD_Speaks
1,Chandans_live
1,CanadaWest250
1,CIA
1,CBSNews
1,BusinessInsider
1,BlakesWort
1,AndrzejDuda
1,AmericanoMedia
1,Alerta_News_
1,AimsDigitalNet
1,AffInt
1,AdamKinzinger
1,Acyn
1,AbiyAhmedAli
1,APoussart
1,ABC
1,1stArmoredDiv
