number,top_hash_tags
65,donaldtrump
63,trump
58,JoeBiden
50,randomtrump
50,giphy
50,gifs
50,gif
49,DonaldTrump
37,Ukraine
26,Trump
22,Putin
22,Biden
15,Russia
15,MAGA
10,trumpcrimefamily
9,VladimirPutin
9,US
9,TRUMP2024
8,joebiden
6,ukraine
6,biden
6,Ucrania
6,USA
6,FJB
5,UkraineWar
5,Twitter
5,Rusia
5,Republican
5,Ohio
5,LetsGoBrandon
5,HotTake
5,FoxNews
5,FakeNews
5,ElonMusk
5,EEUU
4,russia
4,news
4,RussiaUkraineWar
4,RidinWithBiden
4,PresidentBiden
4,President
4,OTAN
4,MSMLies
4,Kiev
4,GOP
4,FreeSpeech
4,FreeAlexSaab
4,Democrat
4,BidenLeads
4,BidenIsBoss
4,BidenDeliversAGAIN
4,BidenDelivers
4,America
3,zelensky
3,shorts
3,putin
3,WorldWar3
3,Trump2024
3,TRUMP2024ToSaveAmerica
3,RonDeSantis
3,PresidentsDay
3,MorningJoe
3,Kyiv
3,Imrankhan
3,EstadosUnidos
2,ytshorts
2,ucrania
2,russiaukrainewar
2,rusia
2,republicans
2,racist
2,potus
2,new
2,maga
2,kyiv
2,eeuu
2,business
2,Zelensky
2,YoshimasaHayashi
2,WorstPresidentEver
2,WorldWar
2,WasAHugeMistake
2,WWIII
2,WATP
2,VolodymyrZelenskyy
2,Vladimir
2,Video
2,Varsovie
2,UkraineRussiaWar
2,Ucraina
2,Trumpteam2024
2,TrumpIsACriminal
2,TrendingTopics
2,TrendingNow
2,Taliban
2,SoldelaMananaRD
2,RishiSunak
2,RangersFC
2,Poutine
2,Pologne
2,PalestineOhio
2,Pakistan
2,POTUS
2,OlafScholz
2,NorfolkSouthernDerailment
2,News
2,NewYork
2,MinPres
2,FestivalDeCarnavales2023
2,Facts
2,EmmanuelMacron
2,Donald
2,DarkBrandon
2,DONALDTRUMP2024
2,Crimea
2,Conservative
2,ChatGPT
2,California
2,BidenInPoland
2,Arizona
2,AmericaFirst
2,10Tak
2,1
1,مهسا_امینی
1,لاہور_ہائیکورٹ_پہنچیں
1,ÉtatsUnis
1,xfinityseries
1,world
1,whiteHats
1,weapons
1,warszawa
1,warsaw
1,war
1,wanker
1,vote
1,volodymyrzelensky
1,vladimirputinparliamentspeech
1,vladimirputin
1,vladimir_putin
1,viral
1,usnews
1,usamatters
1,urkrainewar
1,unitednations
1,ukrainerussiawar
1,uefachampionsleague
1,typical
1,twitch
1,tuesdayvibe
1,trumpfascist
1,trump4prison
1,treaty
1,terremotoenturquia
1,techmoblog
1,taxfraud
1,sundayschool
1,standforukraine
1,soCalledPresident
1,shervsmon
1,scifi
1,russophobia
1,rescue
1,ratuukrajini
1,rageagainstthewarmachine
1,putinspeech
1,psychoanalyst
1,psychoanalysis
1,presidentday
1,ppopcon2023
1,popcornedition
1,politics
1,policies
1,poland
1,podc
1,oriele
1,nuclear
1,notvotingforbiden
1,noticieromam
1,noticiasdesdecuba
1,nftsociety
1,nfts
1,newstodayurdu
1,naleo
1,motivation
1,moscow
1,moment
1,mindset
1,miliardi
1,mikedewine
1,mentalhealth
1,meloni
1,marketing
1,maldef
1,makemoneyonline
1,mahsaamini
1,lulac
1,luce
1,latinojournal96
1,lates
1,kiev
1,kansasnews
1,joebidenwarsaw
1,joe_biden
1,italia
1,invasion
1,inflation
1,holocausto
1,hie_tweet
1,hayskansas
1,hate
1,guerraucraniarusia
1,guerraucrania
1,gop
1,fuckUkraine
1,floydmayweatherjr
1,fixusafirst
1,f1
1,extremism
1,export_controls
1,eunews
1,eu
1,estadosunidos
1,enhancesentrymode
1,enhanceautopilot
1,emisorasunidas
1,elonmusk
1,elon_musk
1,elevenlabs
1,eastpalastine
1,dress
1,dope
1,doctorwho
1,digitstem
1,destituer
1,democrats
1,democracy
1,datapoint
1,dailymail
1,cèsolounpresidente
1,cybersecurity
1,cuba
1,crazy
1,corrupt
1,conman
1,confus
1,coltstrong
1,cahispanic
1,biggestloser
1,bidenukraine
1,bidenkyiv
1,berlusconi
1,bbc
1,barnard
1,bakhmut
1,bagla
1,arresttrumpnow
1,analysis
1,america
1,ai
1,affirmations
1,Zelenskyy
1,ZelenskyWarCriminal
1,Zelenskiy
1,Wyoming
1,WorldNewsinHindi
1,WorldNews
1,Wisconsin
1,WhiteHouse
1,WestVirginia
1,WebSeries
1,WashingtonDC
1,Washington
1,Warsaw
1,WarCriminalPutin
1,War
1,WalkoutIRI
1,Vydel
1,Vuhledar
1,VozdeAmérica
1,VoteHerOut
1,VoteBlueToSaveDemocracy
1,VoteBlueToSaveAmerica
1,VolodimirZelenski
1,Vladimirputin
1,VisitaEEUUaUcrania
1,Virginia
1,Vermont
1,VOTERED2024
1,VOA
1,Utah
1,Usa2024
1,UnitedStatesEconomy
1,UnitedStates
1,Ukrainewar
1,UkraineWillWin
1,UkraineRussianWar
1,UkraineMoochers
1,USPresident
1,USFinance
1,USANEWS
1,USAFinance
1,URGENT
1,UK
1,TuckerCarlson
1,TrumpTrain
1,TrumpThinksItsHisGetOutOfJailCard
1,TrumpProtest
1,TrumpIsALaughingStock
1,TrumpCult
1,Trending
1,TopZelensky
1,TodoEstáEnLN
1,TikTok
1,TigrayGenocide
1,TheFive
1,ThankYou
1,Texas
1,TerceraGuerraMundial
1,Tennessee
1,TRADERS
1,Svatove
1,StoryKillers
1,StopPutinNOW
1,StephanieWinstonWolkoff
1,StandWithUkraine
1,StandUpForUkraine
1,StandForUkraine
1,Southern
1,SouthDakota
1,SouthCarolina
1,SleepyJoe
1,SlavaUkraini
1,Shirt
1,Selenskyj
1,SeditiousConspiracy
1,SecretService
1,STARTtreaty
1,START
1,SEO
1,SCOTT
1,Russsia
1,Rusland
1,Robotics
1,RhodeIsland
1,Republicans
1,PutinPoopedHimself
1,PutThatInYourPipe
1,PresidentsDay2023
1,PresidentTrump
1,Polish
1,Polen
1,Poland
1,Poetin
1,Pluto
1,Pennsylvania
1,PatHeads
1,Palmade
1,Palestine
1,POS
1,PAB
1,ObiDattiGlobalMegaRally
1,ObamasSockPuppet
1,NotreDame
1,NorthDakota
1,NorthCarolina
1,NorfolkSouthern
1,Nifty
1,NieuwNieuws
1,NewsUpdate
1,NewsBreak
1,NewMexico
1,NewJersey
1,NewHampshire
1,Nevada
1,Nehru
1,Nebraska
1,NarendraModi
1,NATO
1,NAAP
1,Munich
1,MundoMultipolar
1,Mundo
1,Moscú
1,Montana
1,Missouri
1,Mississippi
1,Minnesota
1,MiddayNews
1,Michigan
1,Meme
1,MelaniaTrump
1,MeatballRon
1,Massachusetts
1,Maine
1,MahsaAmini
1,MSNBC
1,MIDTERMS
1,MAGAmeltdown
1,MAGAMoron
1,MAGA2024
1,Lying
1,LuxorPA
1,Loser45
1,LockHerUp
1,Lego
1,Lahore
1,La26
1,Kupiansk
1,Kreminna
1,KevinMcCarthy
1,Kentucky
1,Kansas
1,KamalaHarris
1,Justice4Tigray
1,JustAskingForTheNation
1,Joe
1,Jawaharlal_Neh
1,JansenPanettiere
1,Jan6
1,Iowa
1,InvasiónaUcrania
1,Internacionales
1,Internacional
1,Insurrection
1,InsideJob
1,Indira_Gandhi
1,Indie
1,Indiana
1,India
1,ImranKhanForPakistan
1,ImranKhan
1,ImpeachBiden
1,Illinois
1,Idaho
1,IRGCterrorists
1,IOS
1,IMPEACHBIDENNOW
1,Hoops
1,Hillary
1,Hero
1,Hawaii
