,Date,ID,url,username,source,location,tweet,num_of_likes,num_of_retweet
0,2023-02-20 12:40:22+00:00,1627649361881583616,https://twitter.com/Queenyk9/status/1627649361881583616,Queenyk9,Twitter Web App,"Fort Wayne, IN",We Can’t Believe What Fox Hosts Said About Donald Trump In New Court Filing https://t.co/mTGvXJqCvU,0,0
1,2023-02-20 12:40:18+00:00,1627649342667358211,https://twitter.com/RadioNayaAndaz/status/1627649342667358211,RadioNayaAndaz,Airtime Pro,"Houston, Texas, USA",Now playing Column Donald Trump.mp3 by !,0,0
2,2023-02-20 12:40:15+00:00,1627649333381238796,https://twitter.com/MEATHOG2/status/1627649333381238796,MEATHOG2,Twitter for Android,,@alx Donald Trump.,0,0
3,2023-02-20 12:40:04+00:00,1627649284014317569,https://twitter.com/Roxann_JaneRoe/status/1627649284014317569,Roxann_JaneRoe,Twitter Web App,,@RonFilipkowski Amy Kremer (born 1970 or 1971) is an American political activist known for her roles in the Tea Party movement and as a supporter of Donald Trump.,0,0
4,2023-02-20 12:40:00+00:00,1627649267044167682,https://twitter.com/sashadumont3/status/1627649267044167682,sashadumont3,Twitter Web App,,DAMN SHAME. He was NEVER interested in being president &amp; he NEVER respected the position &amp; he NEVER will. Donald Trump is a MENACE to SOCIETY &amp; a CLEAR &amp; PRESENT DANGER to the United States Of American. Ron DeSantis is also a CLEAR &amp; PRESENT DANGER to the USA.,0,0
5,2023-02-20 12:39:49+00:00,1627649224337678337,https://twitter.com/ThiagoUrz/status/1627649224337678337,ThiagoUrz,Twitter for iPhone,"Dallas, TX","@CristianoBonobo @augustodefranco O próprio Donald Trump já defendeu ideias que definitivamente não são de direita, protecionismo e proteção aos trabalhadores industriais americanos. Venceu uma eleição disputada ao extremo tomando eleitores que predominante votavam na ala a esquerda dos democratas.",0,0
6,2023-02-20 12:39:46+00:00,1627649210966237184,https://twitter.com/bearhunts1/status/1627649210966237184,bearhunts1,Twitter for iPhone,,"@prageru George Washington, Abraham Lincoln, Teddy Roosevelt, Ronald Reagan and Donald Trump",0,0
7,2023-02-20 12:39:43+00:00,1627649197276012545,https://twitter.com/MarkDaVinciGrp/status/1627649197276012545,MarkDaVinciGrp,Twitter for iPhone,"Washington, D.C.","Donald Trump is scheduled to appear Thursday at a Palm Beach fundraiser. On Friday, Ron DeSantis kicks off a three-day retreat with donors and other supporters. https://t.co/H3PnMy5Ghs",0,0
8,2023-02-20 12:39:39+00:00,1627649178787622912,https://twitter.com/SavedOne1/status/1627649178787622912,SavedOne1,Twitter Web App,"Chicago, Illinois","Donald Trump's art of deflection
https://t.co/VLvLWCrN6r
Common Criminal Thinking
https://t.co/51sFeGQ802
Trumps Words, &amp; Deeds, Reveal Depths of His Drive 
https://t.co/QwrjJsfJxP
to Retain Pwr
https://t.co/7rSW4JjxOo
When real leaders speak people listen
https://t.co/zkkdDMN3VZ https://t.co/LRYfNho0Nt",0,0
9,2023-02-20 12:39:39+00:00,1627649178477424640,https://twitter.com/azcourier/status/1627649178477424640,azcourier,Twitter Web App,Arizona,Donald Trump Tears Up His Favorite Newspaper For Gushing Praise of DeSantis https://t.co/xlfQDlTWUH,0,0
